Crop,District,Year,Min_Temp,Max_Temp,crop_bengal_gram,crop_groundnut,crop_maize,Total_Rainfall,Acre,Total_Yield
bengal gram,ADILABAD,2016,12.34,42.66,1,0,0,1130.15,3,1551
bengal gram,BHADRADRI,2016,16.42,42.65,1,0,0,1145.008696,0.5,700
bengal gram,HYDERABAD,2016,17.52,41.88,1,0,0,885.48125,0.8,900
bengal gram,JAGTIAL,2016,12.84,43.34,1,0,0,960.3555556,2,1299
bengal gram,JANGAON,2016,15.99,41.87,1,0,0,978.6769231,2,1299
bengal gram,JAYASHANKAR,2016,14.45,42.74,1,0,0,1135.705,1.5,1299
bengal gram,JOGULAMBA,2016,16.79,42.73,1,0,0,540,1,657
bengal gram,KAMAREDDY,2016,13.45,42.33,1,0,0,1096.881818,3,1340
bengal gram,KARIMNAGAR,2016,14.99,42.86,1,0,0,900.4125,4,1299
bengal gram,KHAMMAM,2016,17.66,42.25,1,0,0,777.5047619,3,1299
bengal gram,KOMARAM BHEEM,2016,12.65,42.13,1,0,0,1119.48,2.5,1881
bengal gram,MAHABUBABAD,2016,16.19,42.95,1,0,0,938.4625,1,1299
bengal gram,MAHABUBNAGAR,2016,15.42,42.19,1,0,0,579.4384615,1.3,1299
bengal gram,MANCHERIAL,2016,14.15,42.94,1,0,0,1116.6,1.2,1299
bengal gram,MEDAK,2016,13.57,42.09,1,0,0,1005.09,1,1060
bengal gram,MEDCHAL MALKAJG,2016,15.78,41.72,1,0,0,946.8857143,2,1299
bengal gram,NAGARKURNOOL,2016,15.79,42.24,1,0,0,543.63,2,1299
bengal gram,NALGONDA,2016,17.13,42.72,1,0,0,785.216129,1,1299
bengal gram,NIRMAL,2016,13.39,42.97,1,0,0,1247.821053,1.5,1173
bengal gram,NIZAMABAD,2016,13.68,42.79,1,0,0,1252.888889,3,1558
bengal gram,PEDDAPALLI,2016,14.89,42.81,1,0,0,941.8571429,2,1299
bengal gram,RAJANNA,2016,13.15,42.95,1,0,0,1018.907692,2,1299
bengal gram,RANGAREDDY,2016,14.39,41.39,1,0,0,635.7481481,3,1477
bengal gram,SANGAREDDY,2016,12.83,41.8,1,0,0,942.6538462,4,1421
bengal gram,SIDDIPET,2016,14.57,41.56,1,0,0,894.1818182,3,1423
bengal gram,SURYAPET,2016,17.53,42.48,1,0,0,764.6434783,3,1299
bengal gram,VIKARABAD,2016,14.04,41.63,1,0,0,943.2,2,1576
bengal gram,WANAPARTHY,2016,17.18,42.46,1,0,0,572.2,3,1299
bengal gram,WARANGAL RURAL,2016,15.17,42.37,1,0,0,1075.166667,2,1299
bengal gram,WARANGAL URBAN,2016,15.79,42.57,1,0,0,1290.163636,2,1299
bengal gram,YADADRI,2016,15.99,41.75,1,0,0,719.83125,3,1299
bengal gram,ADILABAD,2017,12.69,41.62,1,0,0,848.3227778,4,1742
bengal gram,BHADRADRI,2017,15.89,41.41,1,0,0,908.6626087,3,1516
bengal gram,HYDERABAD,2017,17.67,39.85,1,0,0,774.113125,3,1300
bengal gram,JAGTIAL,2017,13.49,42.14,1,0,0,540.5316667,2,1516
bengal gram,JANGAON,2017,14.92,40.56,1,0,0,597.5669231,3,1516
bengal gram,JAYASHANKAR,2017,13.76,42.04,1,0,0,815.85,3,1516
bengal gram,JOGULAMBA,2017,16.42,40.7,1,0,0,525.2658333,2,1312
bengal gram,KAMAREDDY,2017,13.21,40.59,1,0,0,757.7286364,4,1687
bengal gram,KARIMNAGAR,2017,14.33,41.97,1,0,0,585.4225,2,1516
bengal gram,KHAMMAM,2017,16.93,41.13,1,0,0,789.8538095,1,1516
bengal gram,KOMARAM BHEEM,2017,12.73,41.52,1,0,0,654.488,2,1240
bengal gram,MAHABUBABAD,2017,14.93,41.27,1,0,0,805.589375,3,1516
bengal gram,MAHABUBNAGAR,2017,14.97,40.5,1,0,0,569.9465385,2,1516
bengal gram,MANCHERIAL,2017,13.61,42.67,1,0,0,628.4933333,3,1516
bengal gram,MEDAK,2017,13.78,40.25,1,0,0,563.8815,2.5,1341
bengal gram,MEDCHAL MALKAJG,2017,15.64,40.28,1,0,0,804.51,1.8,1516
bengal gram,NAGARKURNOOL,2017,15.29,39.95,1,0,0,422.9185,2,1516
bengal gram,NALGONDA,2017,16.6,41.07,1,0,0,534.0377419,2,1516
bengal gram,NIRMAL,2017,13.25,41.49,1,0,0,691.0947368,1.5,1072
bengal gram,NIZAMABAD,2017,14.04,41.19,1,0,0,617.5703704,1,1675
bengal gram,PEDDAPALLI,2017,13.76,42.17,1,0,0,549.5485714,3,1516
bengal gram,RAJANNA,2017,12.78,41.48,1,0,0,526.4469231,4,1516
bengal gram,RANGAREDDY,2017,14.6,39.61,1,0,0,578.7140741,3,1403
bengal gram,SANGAREDDY,2017,13.57,39.79,1,0,0,661.6261538,2.5,1366
bengal gram,SIDDIPET,2017,13.76,40.15,1,0,0,593.945,1,1315
bengal gram,SURYAPET,2017,16.75,41.01,1,0,0,601.9147826,1.3,1516
bengal gram,VIKARABAD,2017,14.1,40.01,1,0,0,521.8055556,1.2,1440
bengal gram,WANAPARTHY,2017,16.49,40.71,1,0,0,504.1507143,1,2132
bengal gram,WARANGAL RURAL,2017,14.67,41.3,1,0,0,834.2066667,2,1516
bengal gram,WARANGAL URBAN,2017,14.9,41.37,1,0,0,674.2163636,2,1516
bengal gram,YADADRI,2017,15.15,40.63,1,0,0,553.403125,1,1516
bengal gram,ADILABAD,2018,12.46,41.66,1,0,0,884.2918056,4.5,1858
bengal gram,BHADRADRI,2018,15.98,41.41,1,0,0,976.2786957,3,3000
bengal gram,HYDERABAD,2018,17.75,39.8,1,0,0,635.1501563,5,4000
bengal gram,JAGTIAL,2018,13.81,42.12,1,0,0,695.97875,2,1569
bengal gram,JANGAON,2018,15.21,40.52,1,0,0,682.6244231,3,1569
bengal gram,JAYASHANKAR,2018,13.75,42.09,1,0,0,973.075,4,1569
bengal gram,JOGULAMBA,2018,16.6,40.57,1,0,0,453.645625,3,411
bengal gram,KAMAREDDY,2018,13.47,40.66,1,0,0,686.9798864,3,1617
bengal gram,KARIMNAGAR,2018,14.29,41.84,1,0,0,646.7978125,2,1569
bengal gram,KHAMMAM,2018,17.28,41.22,1,0,0,714.6277381,3,1569
bengal gram,KOMARAM BHEEM,2018,12.41,41.67,1,0,0,857.882,2,1766
bengal gram,MAHABUBABAD,2018,15.28,41.49,1,0,0,807.1160938,2,0
bengal gram,MAHABUBNAGAR,2018,15.48,40.06,1,0,0,474.7356731,3,1569
bengal gram,MANCHERIAL,2018,13.37,42.55,1,0,0,831.5677778,4,1569
bengal gram,MEDAK,2018,14.14,40.07,1,0,0,616.112875,3,1203
bengal gram,MEDCHAL MALKAJG,2018,15.58,39.91,1,0,0,632.5989286,3,1569
bengal gram,NAGARKURNOOL,2018,15.58,39.9,1,0,0,429.269625,2,1569
bengal gram,NALGONDA,2018,17.15,41.18,1,0,0,546.1699194,3,1569
bengal gram,NIRMAL,2018,13.33,41.83,1,0,0,803.0723684,3,1842
bengal gram,NIZAMABAD,2018,14.22,41.39,1,0,0,703.7388889,2,1824
bengal gram,PEDDAPALLI,2018,14.06,42.38,1,0,0,714.3871429,4,1569
bengal gram,RAJANNA,2018,12.84,41.38,1,0,0,635.6290385,2,1569
bengal gram,RANGAREDDY,2018,14.66,39.1,1,0,0,491.5461111,1,1138
bengal gram,SANGAREDDY,2018,13.67,39.63,1,0,0,612.2584615,2,1268
bengal gram,SIDDIPET,2018,13.8,39.92,1,0,0,597.5453409,3,2257
bengal gram,SURYAPET,2018,17.51,41.36,1,0,0,585.3026087,2,1569
bengal gram,VIKARABAD,2018,14.49,39.32,1,0,0,609.0333333,3,1611
bengal gram,WANAPARTHY,2018,16.89,40.41,1,0,0,488.7001786,3.5,2140
bengal gram,WARANGAL RURAL,2018,14.71,41.22,1,0,0,851.1166667,1,1569
bengal gram,WARANGAL URBAN,2018,15.09,41.29,1,0,0,808.2336364,2,1569
bengal gram,YADADRI,2018,15.31,40.33,1,0,0,513.0085938,2,1569
groundnut,ADILABAD,2016,12.34,42.66,0,1,0,1130.15,1.5,2068
groundnut,BHADRADRI,2016,16.42,42.65,0,1,0,1145.008696,1.5,2186
groundnut,HYDERABAD,2016,17.52,41.88,0,1,0,885.48125,1,500
groundnut,JAGTIAL,2016,12.84,43.34,0,1,0,960.3555556,3,1794
groundnut,JANGAON,2016,15.99,41.87,0,1,0,978.6769231,3,1516
groundnut,JAYASHANKAR,2016,14.45,42.74,0,1,0,1135.705,4,2151
groundnut,JOGULAMBA,2016,16.79,42.73,0,1,0,540,4,2025
groundnut,KAMAREDDY,2016,13.45,42.33,0,1,0,1096.881818,4,2068
groundnut,KARIMNAGAR,2016,14.99,42.86,0,1,0,900.4125,5,2411
groundnut,KHAMMAM,2016,17.66,42.25,0,1,0,777.5047619,3,1590
groundnut,KOMARAM BHEEM,2016,12.65,42.13,0,1,0,1119.48,4,2068
groundnut,MAHABUBABAD,2016,16.19,42.95,0,1,0,938.4625,3,1353
groundnut,MAHABUBNAGAR,2016,15.42,42.19,0,1,0,579.4384615,5,1844
groundnut,MANCHERIAL,2016,14.15,42.94,0,1,0,1116.6,4,2066
groundnut,MEDAK,2016,13.57,42.09,0,1,0,1005.09,4,2062
groundnut,MEDCHAL MALKAJG,2016,15.78,41.72,0,1,0,946.8857143,6,3000
groundnut,NAGARKURNOOL,2016,15.79,42.24,0,1,0,543.63,4,2261
groundnut,NALGONDA,2016,17.13,42.72,0,1,0,785.216129,3,1463
groundnut,NIRMAL,2016,13.39,42.97,0,1,0,1247.821053,4,2068
groundnut,NIZAMABAD,2016,13.68,42.79,0,1,0,1252.888889,4,2044
groundnut,PEDDAPALLI,2016,14.89,42.81,0,1,0,941.8571429,4.2,2068
groundnut,RAJANNA,2016,13.15,42.95,0,1,0,1018.907692,4.3,2068
groundnut,RANGAREDDY,2016,14.39,41.39,0,1,0,635.7481481,4.5,2068
groundnut,SANGAREDDY,2016,12.83,41.8,0,1,0,942.6538462,4,2049
groundnut,SIDDIPET,2016,14.57,41.56,0,1,0,894.1818182,3.5,2066
groundnut,SURYAPET,2016,17.53,42.48,0,1,0,764.6434783,3,1429
groundnut,VIKARABAD,2016,14.04,41.63,0,1,0,943.2,2,1745
groundnut,WANAPARTHY,2016,17.18,42.46,0,1,0,572.2,4,2330
groundnut,WARANGAL RURAL,2016,15.17,42.37,0,1,0,1075.166667,6,3265
groundnut,WARANGAL URBAN,2016,15.79,42.57,0,1,0,1290.163636,4,2416
groundnut,YADADRI,2016,15.99,41.75,0,1,0,719.83125,3,1736
groundnut,ADILABAD,2017,12.69,41.62,0,1,0,848.3227778,2,2236
groundnut,BHADRADRI,2017,15.89,41.41,0,1,0,908.6626087,4,2815
groundnut,HYDERABAD,2017,17.67,39.85,0,1,0,774.113125,6,2000
groundnut,JAGTIAL,2017,13.49,42.14,0,1,0,540.5316667,4,1453
groundnut,JANGAON,2017,14.92,40.56,0,1,0,597.5669231,3,1769
groundnut,JAYASHANKAR,2017,13.76,42.04,0,1,0,815.85,2,1792
groundnut,JOGULAMBA,2017,16.42,40.7,0,1,0,525.2658333,4,2363
groundnut,KAMAREDDY,2017,13.21,40.59,0,1,0,757.7286364,6,2236
groundnut,KARIMNAGAR,2017,14.33,41.97,0,1,0,585.4225,4,1603
groundnut,KHAMMAM,2017,16.93,41.13,0,1,0,789.8538095,3,2126
groundnut,KOMARAM BHEEM,2017,12.73,41.52,0,1,0,654.488,2,2000
groundnut,MAHABUBABAD,2017,14.93,41.27,0,1,0,805.589375,4,1526
groundnut,MAHABUBNAGAR,2017,14.97,40.5,0,1,0,569.9465385,6,2332
groundnut,MANCHERIAL,2017,13.61,42.67,0,1,0,628.4933333,4,2237
groundnut,MEDAK,2017,13.78,40.25,0,1,0,563.8815,3,2229
groundnut,MEDCHAL MALKAJG,2017,15.64,40.28,0,1,0,804.51,2,2000
groundnut,NAGARKURNOOL,2017,15.29,39.95,0,1,0,422.9185,4,2300
groundnut,NALGONDA,2017,16.6,41.07,0,1,0,534.0377419,6,1932
groundnut,NIRMAL,2017,13.25,41.49,0,1,0,691.0947368,4,2236
groundnut,NIZAMABAD,2017,14.04,41.19,0,1,0,617.5703704,3,2226
groundnut,PEDDAPALLI,2017,13.76,42.17,0,1,0,549.5485714,2,2236
groundnut,RAJANNA,2017,12.78,41.48,0,1,0,526.4469231,4,2236
groundnut,RANGAREDDY,2017,14.6,39.61,0,1,0,578.7140741,6,3023
groundnut,SANGAREDDY,2017,13.57,39.79,0,1,0,661.6261538,4,2236
groundnut,SIDDIPET,2017,13.76,40.15,0,1,0,593.945,3,1760
groundnut,SURYAPET,2017,16.75,41.01,0,1,0,601.9147826,3,1928
groundnut,VIKARABAD,2017,14.1,40.01,0,1,0,521.8055556,4,2045
groundnut,WANAPARTHY,2017,16.49,40.71,0,1,0,504.1507143,6,2141
groundnut,WARANGAL RURAL,2017,14.67,41.3,0,1,0,834.2066667,4,3281
groundnut,WARANGAL URBAN,2017,14.9,41.37,0,1,0,674.2163636,3,2230
groundnut,YADADRI,2017,15.15,40.63,0,1,0,553.403125,2,2207
groundnut,ADILABAD,2018,12.46,41.66,0,1,0,884.2918056,4,2489
groundnut,BHADRADRI,2018,15.98,41.41,0,1,0,976.2786957,6,2370
groundnut,HYDERABAD,2018,17.75,39.8,0,1,0,635.1501563,4,0
groundnut,JAGTIAL,2018,13.81,42.12,0,1,0,695.97875,3,1427
groundnut,JANGAON,2018,15.21,40.52,0,1,0,682.6244231,2,1583
groundnut,JAYASHANKAR,2018,13.75,42.09,0,1,0,973.075,4,2141
groundnut,JOGULAMBA,2018,16.6,40.57,0,1,0,453.645625,6,2480
groundnut,KAMAREDDY,2018,13.47,40.66,0,1,0,686.9798864,4,2489
groundnut,KARIMNAGAR,2018,14.29,41.84,0,1,0,646.7978125,3,2700
